schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,M15,OUTSIDE_DEFINED_SESSION,8,0.11764706,91.83,0.00,91.83,,8,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H1,ASIA,7,0.14285714,214.24,28.70,185.54,7.464808,5,2,0,16.24
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H1,LONDON,8,0.16326531,246.32,0.00,246.32,,8,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H1,LONDON_NY_OVERLAP,20,0.40816327,284.92,2676.98,-2392.06,0.106433,12,8,0,2612.06
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H1,NEW_YORK_ONLY,3,0.06122449,72.32,380.12,-307.80,0.190256,2,1,0,380.12
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H1,OUTSIDE_DEFINED_SESSION,11,0.22448980,239.39,72.40,166.99,3.306492,8,3,0,72.40
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H4,ASIA,13,0.23214286,491.15,393.92,97.23,1.246827,11,2,0,380.38
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H4,LONDON,11,0.19642857,310.40,0.00,310.40,,11,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H4,LONDON_NY_OVERLAP,17,0.30357143,314.51,474.54,-160.03,0.662768,15,2,0,473.96
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H4,NEW_YORK_ONLY,5,0.08928571,53.74,482.36,-428.62,0.111411,4,1,0,482.36
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,H4,OUTSIDE_DEFINED_SESSION,10,0.17857143,258.25,72.40,185.85,3.566989,7,3,0,72.40
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,M15,ASIA,3,0.06818182,0.00,33.13,-33.13,0.000000,0,3,0,33.13
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,M15,LONDON,7,0.15909091,212.02,0.00,212.02,,7,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,M15,LONDON_NY_OVERLAP,22,0.50000000,418.18,900.36,-482.18,0.464459,19,3,0,867.91
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,M15,NEW_YORK_ONLY,6,0.13636364,75.13,685.84,-610.71,0.109545,4,2,0,685.84
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,XAUUSD,M15,OUTSIDE_DEFINED_SESSION,6,0.13636364,72.83,72.40,0.43,1.005939,3,3,0,72.40
