"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"Aura Superstar MT5",".Forexbookthai\EA\Link DL Aura Super Star\Aura Superstar MT5\Aura Superstar MT5.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","24"
"Aura Superstar MT5",".Forexbookthai\EA\Link DL Aura Super Star\Aura Superstar MT5\Aura Superstar MT5.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","24"
"Aura Superstar MT5",".Forexbookthai\EA\Link DL Aura Super Star\Aura Superstar MT5\Aura Superstar MT5.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","24"
"Aura Superstar MT5",".Forexbookthai\EA\Link DL Aura Super Star\Aura Superstar MT5\Aura Superstar MT5.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","24"
"Correlation EA 24","2024-03\Correlation EA MT5\Correlation EA MT5\Correlation EA 24.ex5","unknown-ea","XAUUSD","0","MS5_0025_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","25"
"Correlation EA 24","2024-03\Correlation EA MT5\Correlation EA MT5\Correlation EA 24.ex5","unknown-ea","EURUSD","0","MS5_0025_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","25"
"Correlation EA 24","2024-03\Correlation EA MT5\Correlation EA MT5\Correlation EA 24.ex5","unknown-ea","USDJPY","0","MS5_0025_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","25"
"Correlation EA 24","2024-03\Correlation EA MT5\Correlation EA MT5\Correlation EA 24.ex5","unknown-ea","AUDNZD","0","MS5_0025_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","25"
"EA_Lot_2.1","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.1.ex5","unknown-ea","XAUUSD","0","MS5_0026_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","26"
"EA_Lot_2.1","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.1.ex5","unknown-ea","EURUSD","0","MS5_0026_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","26"
"EA_Lot_2.1","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.1.ex5","unknown-ea","USDJPY","0","MS5_0026_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","26"
"EA_Lot_2.1","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.1.ex5","unknown-ea","AUDNZD","0","MS5_0026_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","26"
"EA_Lot_2","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.ex5","unknown-ea","XAUUSD","0","MS5_0027_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","27"
"EA_Lot_2","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.ex5","unknown-ea","EURUSD","0","MS5_0027_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","27"
"EA_Lot_2","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.ex5","unknown-ea","USDJPY","0","MS5_0027_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","27"
"EA_Lot_2","2024-03\Lot2.1 2024.05.25\Lot2.1 2024.05.25\EA_Lot_2.ex5","unknown-ea","AUDNZD","0","MS5_0027_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","27"
"(Tom) Price Action - Trend Line -Fibo -Martingale 090423","2024-06\New folder\(Tom) Price Action - Trend Line -Fibo -Martingale 090423.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","28"
"(Tom) Price Action - Trend Line -Fibo -Martingale 090423","2024-06\New folder\(Tom) Price Action - Trend Line -Fibo -Martingale 090423.ex5","grid-recovery","EURUSD","0","","False","",,,,,"","m2-no-report","28"
"(Tom) Price Action - Trend Line -Fibo -Martingale 090423","2024-06\New folder\(Tom) Price Action - Trend Line -Fibo -Martingale 090423.ex5","grid-recovery","USDJPY","0","","False","",,,,,"","m2-no-report","28"
"(Tom) Price Action - Trend Line -Fibo -Martingale 090423","2024-06\New folder\(Tom) Price Action - Trend Line -Fibo -Martingale 090423.ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","m2-no-report","28"
"EA News  COREJJ   27 Time filter ","2024-06\New folder\EA News  COREJJ   27 Time filter .ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","29"
"EA News  COREJJ   27 Time filter ","2024-06\New folder\EA News  COREJJ   27 Time filter .ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","29"
"EA News  COREJJ   27 Time filter ","2024-06\New folder\EA News  COREJJ   27 Time filter .ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","29"
"EA News  COREJJ   27 Time filter ","2024-06\New folder\EA News  COREJJ   27 Time filter .ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","29"
